Sample,x,y
1,626.52,-11.825369
1,627.9,-15.359558
1,629.28,-18.676439
1,630.66,-22.656242
1,632.04,-27.297241
1,633.42,-32.433865
1,634.8,-36.957367
1,636.18,-41.011242
1,637.56,-44.296955
1,638.94,-47.252834
1,640.32,-49.488884
1,641.7,-48.613468
1,643.08,-47.717934
1,644.46,-46.768555
1,645.84,-45.916683
1,647.22,-45.129997
1,648.6,-44.418568
1,649.98,-43.822639
1,651.36,-43.308331
1,652.74,-42.88446
1,654.12,-42.51815
1,655.5,-42.181587
1,656.88,-41.870449
1,658.26,-41.589073
1,659.64,-41.342964
1,661.02,-41.142147
1,662.4,-40.983318
1,663.78,-40.85532
1,665.16,-40.734161
1,666.54,-40.579834
1,667.92,-40.338329
1,669.3,-39.954094
1,670.68,-39.41296
1,672.06,-38.7486
1,673.44,-38.06311
1,674.82,-37.484535
1,676.2,-37.07943
1,677.58,-36.811508
1,678.96,-36.595673
1,680.34,-36.361938
1,681.72,-36.066643
1,683.1,-35.701935
1,684.48,-35.291553
1,685.86,-34.884224
1,687.24,-34.528217
1,688.62,-34.258732
1,690,-34.088406
1,691.38,-34.014198
1,692.76,-34.026962
1,694.14,-34.117146
1,695.52,-34.264927
1,696.9,-34.44146
1,698.28,-34.610535
1,699.66,-34.732071
1,701.04,-34.77948
1,702.42,-34.759365
1,703.8,-34.702988
1,705.18,-34.639957
1,706.56,-34.579861
1,707.94,-34.503784
1,709.32,-34.354904
1,710.7,-34.041061
1,712.08,-33.470402
1,713.46,-32.671783
1,714.84,-31.797245
1,716.22,-31.054165
1,717.6,-30.58728
1,718.98,-30.365307
1,720.36,-30.276085
1,721.74,-30.244526
1,723.12,-30.229691
1,724.5,-30.202091
1,725.88,-30.137863
1,727.26,-30.021843
1,728.64,-30.775448
1,730.02,-31.586077
1,731.4,-32.676094
1,732.78,-33.529156
1,734.16,-34.183216
1,735.54,-34.430435
1,736.92,-34.282333
1,738.3,-34.002079
1,739.68,-33.507599
1,741.06,-32.810207
1,742.44,-31.882744
1,743.82,-30.939135
1,745.2,-30.015238
1,746.58,-29.243198
1,747.96,-28.362633
1,749.34,-27.578987
1,750.72,-26.867611
1,752.1,-26.367397
1,753.48,-25.76804
1,754.86,-25.273659
1,756.24,-23.206739
1,757.62,-21.342276
1,759,-19.28826
1,760.38,-18.775761
1,761.76,-18.116594
1,763.14,-17.578362
1,764.52,-16.986111
1,765.9,-16.416286
1,767.28,-15.307285
1,768.66,-15.236832
1,770.04,-15.17057
1,771.42,-15.095814
1,772.8,-15.003487
1,774.18,-14.878777
1,775.56,-14.696941
1,776.94,-14.135431
1,778.32,-10.488019
1,779.7,-7.332232
1,781.08,-5.943199
1,782.46,0.700683
1,783.84,7.526282
1,785.22,15.314045
1,786.6,21.034435
1,787.98,29.960745
1,789.36,39.684284
1,790.74,46.495251
1,792.12,51.215134
1,793.5,55.637859
1,794.88,61.238804
1,796.26,66.699364
1,797.64,71.565666
1,799.02,74.479546
1,800.4,75.777702
1,801.78,78.056717
1,803.16,81.592216
1,804.54,85.807129
1,805.92,89.344635
1,807.3,89.559937
1,808.68,89.672165
1,810.06,89.521255
1,811.44,88.605759
1,812.82,87.00647
1,814.2,85.46199
1,815.58,82.994095
1,816.96,80.796387
1,818.34,79.919907
1,819.72,79.434296
1,821.1,79.073715
1,822.48,73.201195
1,823.86,67.875885
1,825.24,61.732376
1,826.62,60.041939
1,828,57.622375
1,829.38,54.381989
1,830.76,54.661118
1,832.14,54.887009
1,833.52,55.054001
1,834.9,55.160614
1,836.28,55.203384
1,837.66,47.328148
1,839.04,40.54575
1,840.42,34.8041
1,841.8,31.406542
1,843.18,29.442291
1,844.56,29.877794
1,845.94,29.038618
1,847.32,27.803123
1,848.7,27.798035
1,850.08,27.752007
1,851.46,27.686371
1,852.84,27.622482
1,854.22,27.591499
1,855.6,27.642563
1,856.98,27.84182
1,858.36,28.267624
1,859.74,29.031067
1,861.12,30.139107
